city_name,latitude,longitude,aqi,pm25,pm10
Alaminos,16.1561,119.9811,39,13,16
Angeles City,15.15,120.5833,39,13,16
Antipolo,15.6181,121.19,39,13,16
Bacolod,12.2285,123.5085,27,N/A,N/A
Bacoor,14.459,120.929,39,13,16
Bago City,10.5333,122.8333,27,N/A,N/A
Baguio,16.4164,120.5931,39,13,16
Bais,9.5911,123.1228,27,N/A,N/A
Balanga,14.6761,120.5361,39,13,16
Batac City,18.0554,120.5649,39,13,16
Batangas City,13.75,121.05,39,13,16
Bayawan,9.3636,122.8011,27,N/A,N/A
Baybay,13.4083,123.7135,39,13,16
Bayugan,8.7561,125.7675,27,N/A,N/A
Bislig,11.0725,125.0336,27,N/A,N/A
Biñan,14.3427,121.0807,39,13,16
Bogo,11.0517,124.0055,27,N/A,N/A
Borongan,11.6081,125.4319,27,N/A,N/A
Butuan,8.9492,125.5436,27,N/A,N/A
Cabadbaran,9.1236,125.5344,27,N/A,N/A
Cabanatuan City,15.4833,120.9667,39,13,16
Cabuyao,14.2726,121.1262,39,13,16
Cadiz,10.9506,123.2856,27,N/A,N/A
Cagayan de Oro,8.4822,124.6472,27,N/A,N/A
Calaca,13.9324,120.8133,39,13,16
Calamba,14.2117,121.1653,39,13,16
Calapan,13.4117,121.1803,27,N/A,N/A
Calbayog City,12.0667,124.6,27,N/A,N/A
Caloocan City,14.65,120.9667,39,13,16
Candon,17.1947,120.4517,39,13,16
Canlaon,10.3864,123.1964,27,N/A,N/A
Carcar,10.1061,123.6402,27,N/A,N/A
Carmona,14.3132,121.0576,39,13,16
Catbalogan,11.7753,124.8861,27,N/A,N/A
Cauayan,16.9347,121.7725,39,13,16
Cavite City,14.4825,120.9169,39,13,16
Cebu City,10.3167,123.8907,27,N/A,N/A
City of Marikina,14.6333,121.1,39,13,16
City of Masbate,12.3333,123.5833,27,N/A,N/A
City of Passi,11.15,122.65,27,N/A,N/A
City of Sorsogon,12.9833,123.9833,27,N/A,N/A
Cotabato,7.2236,124.2464,27,N/A,N/A
Dagupan,17.7061,121.5047,39,13,16
Danao,10.5208,124.0272,27,N/A,N/A
Dapitan,10.2706,123.9469,27,N/A,N/A
Dasmariñas,14.3294,120.9367,39,13,16
Davao,7.0731,125.6128,27,N/A,N/A
Digos,6.7497,125.3572,27,N/A,N/A
